FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
11 2.5 10 0.05 0.3 0.04340979831802478
12 2.5 10 0.05 0.3 0.09637944697826398
13 2.5 10 0.05 0.3 0.11723216343964704
1 2.5 10 0.07 0.3 0.6459734769671253
2 2.5 10 0.07 0.3 0.309550776365853
3 2.5 10 0.07 0.3 0.7278327504923602
4 2.5 10 0.07 0.3 1.031641644514673
5 2.5 10 0.07 0.3 0.37539015136101966
6 2.5 10 0.07 0.3 0.2115965090750597
7 2.5 10 0.07 0.3 0.2712605661658213
8 2.5 10 0.07 0.3 0.012732595751011384
9 2.5 10 0.07 0.3 0.056139163713193475
10 2.5 10 0.07 0.3 0.1012015535827227
11 2.5 10 0.07 0.3 0.03850953480657416
12 2.5 10 0.07 0.3 0.08278745297341894
13 2.5 10 0.07 0.3 0.099284063590512
1 2.5 10 0.09 0.3 0.5106605611334007
2 2.5 10 0.09 0.3 0.28278570011165916
3 2.5 10 0.09 0.3 0.6444191070726204
4 2.5 10 0.09 0.3 0.9627422037284523
5 2.5 10 0.09 0.3 0.35141654813953327
6 2.5 10 0.09 0.3 0.18734638328048817
